CVEGEO,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado,nomestado
11040,0.0,40.62814089581669,59.37185910418331,0.0,GUANAJUATO
11041,100.0,0.0,0.0,0.0,GUANAJUATO
11042,100.0,0.0,0.0,0.0,GUANAJUATO
11043,0.0,33.15346234698145,66.84653765301856,0.0,GUANAJUATO
11044,100.0,0.0,0.0,0.0,GUANAJUATO
11045,0.0,86.42572600860603,13.574273991393977,0.0,GUANAJUATO
11046,100.0,0.0,0.0,0.0,GUANAJUATO
12001,0.0,87.78626267925816,12.213737320741844,0.0,GUERRERO
12002,0.0,100.0,0.0,0.0,GUERRERO
12003,0.0,79.8319578815094,3.4445263062945983,0.0,GUERRERO
12004,0.0,100.0,0.0,0.0,GUERRERO
12005,0.0,100.0,0.0,0.0,GUERRERO
12006,0.0,100.00000000000001,0.0,0.0,GUERRERO
12007,0.0,100.0,0.0,0.0,GUERRERO
12008,0.0,99.99764873452747,0.002351265472534529,0.0,GUERRERO
12009,0.0,99.99999999999999,0.0,0.0,GUERRERO
12010,0.0,100.0,0.0,0.0,GUERRERO
12011,0.0,0.0,70.84140118866713,0.0,GUERRERO
12012,0.0,74.32667425928054,25.673325740719456,0.0,GUERRERO
12013,0.0,69.93103980449463,30.068960195505372,0.0,GUERRERO
12014,0.0,0.0,100.0,0.0,GUERRERO
12015,0.0,18.129245079548383,81.87075492045162,0.0,GUERRERO
12016,0.0,29.038117542047974,70.96188245795202,0.0,GUERRERO
12017,0.0,100.0,0.0,0.0,GUERRERO
12018,0.0,63.180975782375384,36.819024217624616,0.0,GUERRERO
12019,0.0,100.0,0.0,0.0,GUERRERO
12020,0.0,100.0,0.0,0.0,GUERRERO
12021,0.0,19.459523673611024,75.5834347150961,0.0,GUERRERO
12022,0.0,45.49575057093706,54.50424942906294,0.0,GUERRERO
12023,0.0,3.0824745188298226,96.91752548117017,0.0,GUERRERO
12024,0.0,100.0,0.0,0.0,GUERRERO
12025,0.0,0.5071437497072259,99.49285625029277,0.0,GUERRERO
