municipio,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado
BATOPILAS,0.0,100.0,0.0,0.0
BOCOYNA,0.0,90.82461513924292,9.175384860757067,0.0
MAGUARICHI,0.0,88.73027010911925,11.269729890880747,0.0
MORELOS,0.0,100.00000000000001,0.0,0.0
MORIS,0.0,70.02055439536625,29.979445604633753,0.0
OCAMPO,0.0,31.54280606228562,68.45719393771438,0.0
URUACHI,0.0,100.0,0.0,0.0
URIQUE,0.0,99.76323212388004,0.2367678761199712,0.0
CHÍNIPAS,0.0,100.0,0.0,0.0
GUAZAPARES,0.0,100.0,0.0,0.0
BALLEZA,0.0,58.114058981132324,41.88594101886767,0.0
GUACHOCHI,0.0,45.943303940857476,54.05669605914252,0.0
GUADALUPE Y CALVO,0.0,99.94260575204221,0.05739424795779822,0.0
ALLENDE,0.0,2.8229890922345415,0.013112732720393367,97.16389817504506
HIDALGO DEL PARRAL,0.0,60.94056605586358,0.0,39.05943394413643
MATAMOROS,0.0,14.51671829994034,35.12695171315522,50.35632998690445
SAN FRANCISCO DEL ORO,0.0,100.0,0.0,0.0
SANTA BÁRBARA,0.0,99.9828043218178,0.0,0.017195678182211082
HUEJOTITÁN,0.0,84.30412088999219,15.695879110007807,0.0
ROSARIO,0.0,41.4987504699531,58.5012495300469,0.0
EL TULE,0.0,19.548291686450185,80.4517083135498,0.0
VALLE DE ZARAGOZA,0.0,72.74357392252861,0.9236992854605355,26.332726792010856
CAMARGO,0.0,55.12285828437283,0.0,44.877141715627175
SAN FRANCISCO DE CONCHOS,0.0,70.36688882203292,0.0,29.633111177967074
LA CRUZ,0.0,56.433162972382846,0.0,43.566837027617154
SAUCILLO,0.0,37.12630651343331,0.0,62.87369348656667
DELICIAS,0.0,0.03382017173399376,0.0,99.96617982826601
MEOQUI,0.0,14.073032602211285,0.0,85.92696739778873
ROSALES,0.0,5.5311719691848475,0.0,94.46882803081516
JULIMES,0.0,72.30910069777201,0.0,27.69089930222799
CORONADO,0.0,14.820991446943719,12.116372445862655,73.06263610719363
JIMÉNEZ,0.0,46.14604790028784,0.0,53.85395209971215
LÓPEZ,0.0,0.0,0.0,100.0
TLALPAN,0.0,0.0,13.131295252930872,0.0
XOCHIMILCO,0.0,0.0,85.5171986570923,0.0
MILPA ALTA,0.0,7.074446235512706,2.64591814964925,0.0
TLÁHUAC,0.0,6.160840382666537,93.83826938193155,0.0
CUAJIMALPA DE MORELOS,0.0,0.0,62.04042098091812,0.0
LA MAGDALENA CONTRERAS,0.0,0.0,27.75837783061508,0.0
ÁLVARO OBREGÓN,0.0,0.0,81.78375792624583,0.0
CANATLÁN,0.0,25.209542078782288,71.0120371473138,0.0
NUEVO IDEAL,0.0,37.680489986503815,62.31951001349619,0.0
DURANGO,0.0,41.57886980172251,30.862890209046473,5.201593730306569
MEZQUITAL,0.0,83.09402968748304,16.90597031251696,0.0
POANAS,0.0,0.0,0.0,1.2421019555646897
NOMBRE DE DIOS,0.0,38.31710294312948,0.0,0.0
SÚCHIL,0.0,25.486097621190712,54.72516787463733,0.0
VICENTE GUERRERO,0.0,5.0541713296013135,0.0,0.0
SAN DIMAS,0.0,71.5790366597606,28.420963340239407,0.0
PUEBLO NUEVO,0.0,82.1078579936891,17.892142006310905,0.0
TAMAZULA,0.0,100.0,0.0,0.0
CUENCAMÉ,0.0,60.50590335683235,0.0,34.85422510782923
PEÑÓN BLANCO,0.0,58.221481958442986,0.0,41.77851804155702
SANTA CLARA,0.0,41.41676295740227,0.0,57.60071054538045
GUADALUPE VICTORIA,0.0,7.31897657396068,0.0,83.58570663570367
PÁNUCO DE CORONADO,0.0,37.30750516098045,31.397372246517087,26.303122854908196
CONETO DE COMONFORT,0.0,37.580364936140185,62.419635063859815,0.0
SAN JUAN DEL RÍO,0.0,47.21611789424083,50.83566843870215,1.9482136670570078
OCAMPO,0.0,63.895067009992424,35.45948359430027,0.6454493957072983
GUANACEVÍ,0.0,80.0486597211938,19.9513402788062,0.0
HIDALGO,0.0,69.78906721829514,0.43096310381038366,29.77996967789447
INDÉ,0.0,84.47513783504651,15.524862164953484,0.0
EL ORO,0.0,37.911694246162945,62.08830575383706,0.0
SAN BERNARDO,0.0,65.53478310135625,34.465216898643746,0.0
CANELAS,0.0,100.0,0.0,0.0
TEPEHUANES,0.0,73.31454769275305,26.685452307246944,0.0
TOPIA,0.0,99.99999999999999,0.0,0.0
OTÁEZ,0.0,100.0,0.0,0.0
SANTIAGO PAPASQUIARO,0.0,81.26687503857717,18.73312496142284,0.0
MAPIMÍ,0.0,35.421882521691195,0.0,64.57811747830881
SAN LUIS DEL CORDERO,0.0,100.0,0.0,0.0
SAN PEDRO DEL GALLO,0.0,100.0,0.0,0.0
LERDO,0.0,85.89106428447927,0.0,14.108935715520726
GÓMEZ PALACIO,0.0,0.8031935922214734,0.0,99.19680640777854
GENERAL SIMÓN BOLÍVAR,0.0,99.31302258985669,0.0,0.6869774101433231
NAZAS,0.0,97.86308045414783,0.0,2.1369195458521726
RODEO,0.0,88.43437762246393,11.56562237753607,0.0
SAN JUAN DE GUADALUPE,0.0,45.2429414266249,0.0,54.757058573375105
TLAHUALILO,0.0,21.355161831091802,0.0,78.64483816890821
